,Name,Epoch Date Close Approach,Relative Velocity km per sec,Relative Velocity km per hr,Miles per hour,Miss Dist.(Astronomical),Miss Dist.(lunar),Miss Dist.(kilometers),Miss Dist.(miles),Jupiter Tisserand Invariant,Epoch Osculation,Semi Major Axis,Asc Node Longitude,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,approach_year,approach_month,approach_day,Orbital Period,Orbit Uncertainity,Hazardous,approach_date,MissDist/Semimajoraxis,Time Until Approach (days),Eccentricity,Average Orbital Velocity (km/s),Orbital Period (years),Heliocentric Distance (meters),Escape Velocity (km/s),Specific Orbital Energy (MJ/kg),Specific Angular Momentum (m^2/s),Perihelion Distance (m),Velocity at Perihelion (km/s),Velocity at Aphelion (km/s),Mean Motion (degrees/day),Synodic Period (years),Semi Minor Axis,Ellipse Area (A^2),Ratio Aphe/Peri,Anomaly_iso,Anomaly_iqr
0,3703080,1995-01-01 07:56:40,0,22017.0038,13680.50994,0.41948253,163.1787109,62753692.0,38993336.0,5.126265167737331,2458000,1.407011303,314.3739134,57.25746988,2.005763673,2457976.422,264.8375333,0.590551388,1995,1,1,0,1,True,1995-01-01,44600702.11674767,-10883,0.4255490831689505,25.113408641866307,1.6687812734869292,210488890.9288,112.31057773988748,-31.534164680668265,4783572872122474.0,120915536376.79991,39.56127570915113,15.94193519567112,0.5906264044466918,0.0,1.27325425826468,5.628110249572618,1.62117640618914,0,0
1,3723955,1995-01-08 08:00:00,1,65210.34609,40519.17311,0.25822102652097634,100.70988334300175,57298148.0,35603420.0,5.126265167737331,2458000,1.107775954,136.7172417,185.14892384053795,1.497352293,2457794.969,173.741112,0.845329788,1995,1,1,0,0,False,1995-01-01,51723588.86569585,-10876,0.3516743052539665,28.302740514868205,1.1658184899875796,165723282.71840003,126.57370348156542,-40.05225603259811,4390810187769911.5,107442662404.00003,40.8665430428355,19.601489654075277,0.8454371686779965,0.0,1.0370139055730967,3.608995882377977,1.0753978403519673,0,0
2,2446862,1995-01-08 08:00:00,0,27326.56018,16979.6618,0.050956016,19.82188988,7622911.5,4736657.5,4.557,2458000,1.458823814,259.4759789,248.4150381,1.966856672,2458120.468,182.73523715752074,0.7610904264177131,1995,1,8,1,0,True,1995-01-08,5225381.863693651,-10876,0.3482482621441496,24.663404998263736,1.7618028347385128,218240042.5744,110.2981002654516,-30.414177305419035,5045607990456758.0,142238327017.59998,35.47291434208472,17.14783116612212,0.559441876203953,inf,1.3675048575730393,6.2673160293750785,1.8700695354858583,0,0
3,3092506,1995-01-15 08:03:20,0,40225.94819,24994.83986,0.25822102652097634,100.70988334300175,38424405.43229847,26522368.0,5.093,2458000,1.3582424092109981,57.17326613,185.14892384053795,1.527904212,2457902.337,68.74100662,0.700277196,1995,1,15,0,1,False,1995-01-15,28289799.502446085,-10869,0.1249127561018788,25.560292144574127,1.5827742204207351,203193064.41796532,114.30910152004326,-32.66642672579889,5152995827669359.0,177811658720.73068,28.980078498466774,22.54405675783601,0.622720708140897,0.0,1.3476042871903022,5.750287292803645,1.8160373148536826,0,0
4,3514799,1995-01-15 08:03:20,0,35426.99179,31312.45573536955,0.407832171,158.6467133,61010824.0,23911784.835555866,5.154,2458000,1.225614737,84.62930679,158.2635961,1.8981149729040065,2457814.455,182.73523715752074,0.7610904264177131,1995,1,15,0,0,True,1995-01-15,49779773.4950049,-10869,0.5487044301948589,26.90775529448309,1.356700545747894,183351964.65519997,120.33513992078812,-36.201364749389136,4124562062057660.5,82745929363.96056,49.846102325053906,14.525253955992232,0.726487717909939,0.0,1.0246340401629423,3.9452327249756074,1.049874916260634,0,0
5,3671135,1995-01-22 08:06:40,0,38911.83825,24178.30305,0.392784784,100.70988334300175,38424405.43229847,36511628.0,4.724,2458000,1.32353218,178.9719508,185.14892384053795,2.069264572,2457976.422,354.2373683,0.7610904264177131,1995,1,15,0,0,False,1995-01-15,29031712.271853086,-10862,0.563441073265026,25.89328813453357,1.5224912165095825,198000414.128,115.79830485961158,-33.52311852089885,4235605443821464.5,86438848284.80006,49.00117861202784,13.682576407527575,0.6473773199343466,0.0,1.0934443886259197,4.546540645461508,1.1956206310175115,0,0
6,2495323,1995-01-22 08:06:40,0,38911.82972,31312.45573536955,0.392783196,152.7926636,38424405.43229847,36511480.0,4.724,2458000,1.323532162,178.9719526,198.1459599,1.8981149729040065,2458009.403,354.2373962,0.647295109,1995,1,15,0,0,False,1995-01-15,29031712.66668355,-10862,0.4341283328058684,25.893288310607563,1.522491185450827,198000411.4352,115.79830564703842,-33.52311897681231,4618556730479840.0,112042822923.96063,41.22135278235792,16.264929078775733,0.6473773331408164,0.0,1.1923053204871832,4.957604231234411,1.421591977262045,0,0
7,2153315,1995-01-22 08:06:40,2,87918.78238,54629.31231,0.129179161,50.25069427,19324928.0,23911784.835555866,4.921,2458000,1.3582424092109981,112.5629844,288.3746511,1.794044544,2457976.422,186.7769323,0.7610904264177131,1995,1,22,0,0,False,1995-01-22,14227893.24567316,-10862,0.32085740500634113,25.560292144574127,1.5827742204207351,203193064.41796532,114.30910152004326,-32.66642672579889,4919071621932149.0,137997065053.53067,35.64620464952631,18.328137341394626,0.622720708140897,0.0,1.2864287549229632,5.489248581980886,1.6548989414926454,0,1
8,2162463,1995-01-22 08:06:40,1,62545.62181,31312.45573536955,0.358282927,100.70988334300175,53598364.0,23911784.835555866,5.386,2458000,1.145550849,80.21113209,353.4223941,1.418397017,2457976.422,182.73523715752074,0.7610904264177131,1995,1,22,0,0,False,1995-01-22,46788288.83657874,-10862,0.23817901076864387,27.832182972801792,1.2259551869755776,171374407.0104,124.46930617879396,-38.731520451575896,4632457266500676.0,130556620277.59998,35.48236203304568,21.83142171623422,0.8039659963420761,0.0,1.1125833524964934,4.004025194805673,1.2378417162523363,0,0
9,2306383,1995-01-22 08:06:40,1,46438.595,28855.13699,0.151805742,59.05243301,22709816.0,14111226.0,5.126265167737331,2458000,0.876125367,172.1857897060477,185.14892384053795,1.8981149729040065,2457900.77,182.73523715752074,1.201862243,1995,1,22,0,0,True,1995-01-22,25920737.89366722,-10862,0.999,31.82521374642052,0.8199784156018489,131068354.9032,142.32668267091407,-50.64221150026767,186498599423675.72,131068354.90320012,1422.9109655142518,18.70582847010625,1.202014912360986,0.0,0.03917172094436301,0.10781738135706473,0.0016629866772437194,1,1
